"elderly_id","name","age","zipcode","city","state","needs"
1,"Matamoros, Francisco",69,71375,"Waterproof","LA","Gardening, Cooking meals, Errands (post office, dry cleaning), Travel companionship, Tech support (computers, phones), Home maintenance (minor repairs), Tech support (computers, phones), Grocery shopping, Tech support (computers, phones), Grocery shopping"
2,"Hines, Austin",71,90832,"Long Beach","CA","Errands (post office, dry cleaning), Reading aloud (books, newspapers), Errands (post office, dry cleaning), Music and entertainment, Arts and crafts activities, Housekeeping, Assistive technology training"
3,"Carter, Kijuan",88,57236,"Garden City","SD","Medication reminders (non-medical), Playing games (cards, board games), Arts and crafts activities, Volunteer coordination, Senior center activities"
4,"Valdez, Heydi",73,65591,"Montreal","MO","Mental wellness support (non-clinical)"
5,"Sidara, Khoa",76,27656,"Raleigh","NC","Fall prevention assistance, Accessibility modifications (home), Playing games (cards, board games), Gardening, Grocery shopping"
6,"Williams, Sindel",81,33914,"Cape Coral","FL","Tech support (computers, phones), Assistive technology training, Accessibility modifications (home), Gardening, Legal assistance referrals, Mental wellness support (non-clinical)"
7,"Mark, Celia",89,68157,"Omaha","NE","Assistive technology training, Gardening, Home maintenance (minor repairs), Senior center activities, Social event planning, Pet care, Respite care (for family caregivers)"
8,"Sweetwater, Sarah",70,38863,"Pontotoc","MS","Grocery shopping, Legal assistance referrals, Errands (post office, dry cleaning), Legal assistance referrals, Reading aloud (books, newspapers), Senior center activities, Reading aloud (books, newspapers)"
9,"Ochoa Dominguez, Elena",94,69032,"Hayes Center","NE","Personal care (dressing, bathing - non-medical)"
10,"Coyhis, Brenden",90,5501,"Andover","MA","Fall prevention assistance, Errands (post office, dry cleaning), Gardening, Cooking meals, Medication reminders (non-medical), Assistive technology training, Companionship (social activities), Home maintenance (minor repairs), Home maintenance (minor repairs)"
11,"Mejia, Carter",79,58017,"Cogswell","ND","Financial management assistance (budgeting), Financial management assistance (budgeting), Legal assistance referrals, Tech support (computers, phones), Home maintenance (minor repairs), Educational programs, Social event planning, Companionship (social activities), Tech support (computers, phones), Grocery shopping"
12,"Carrillo, Tonya",85,24815,"Berwind","WV","Grocery shopping, Gardening, Fall prevention assistance, Gardening, Transportation to appointments, Volunteer coordination, Walking/exercise assistance, Reading aloud (books, newspapers), Legal assistance referrals"
13,"Zamora Estrella, Alora",89,10285,"New York","NY","Fall prevention assistance, Tech support (computers, phones)"
14,"Herndon, Susie",94,68781,"Tilden","NE","Tech support (computers, phones)"
15,"el-Ahmadi, Mas'ooda",75,92236,"Coachella","CA","Music and entertainment, Fall prevention assistance, Home maintenance (minor repairs), Volunteer coordination, Accessibility modifications (home), Transportation to appointments, Housekeeping, Volunteer coordination, Cooking meals"
16,"Thanh, Seung",82,4276,"Rumford","ME","Legal assistance referrals, Home maintenance (minor repairs), Educational programs, Home maintenance (minor repairs), Cooking meals, Transportation to appointments"
17,"Blanchard, Brittany",70,77975,"Moulton","TX","Errands (post office, dry cleaning)"
18,"Golynko, Amanda",94,12530,"Hollowville","NY","Playing games (cards, board games), Medication reminders (non-medical), Respite care (for family caregivers), Legal assistance referrals, Personal care (dressing, bathing - non-medical), Walking/exercise assistance, Financial management assistance (budgeting)"
19,"Nguyen, Daniel",80,18427,"Hamlin","PA","Medication reminders (non-medical), Assistive technology training, Volunteer coordination"
20,"Olguin, Jairo",82,60073,"Round Lake","IL","Playing games (cards, board games), Volunteer coordination, Senior center activities, Mental wellness support (non-clinical), Educational programs, Grocery shopping"
21,"Martinez, Deon",68,83703,"Boise","ID","Respite care (for family caregivers), Financial management assistance (budgeting), Playing games (cards, board games), Errands (post office, dry cleaning), Educational programs"
22,"Garcia, Ariann",69,61372,"Troy Grove","IL","Pet care, Arts and crafts activities, Mental wellness support (non-clinical), Fall prevention assistance, Personal care (dressing, bathing - non-medical), Medication reminders (non-medical)"
23,"Youngblood, Jacob",78,92609,"El Toro","CA","Educational programs, Grocery shopping, Companionship (social activities), Reading aloud (books, newspapers), Companionship (social activities), Gardening, Tech support (computers, phones), Grocery shopping, Tech support (computers, phones), Accessibility modifications (home)"
24,"Swanson, Erika",79,84533,"Lake Powell","UT","Transportation to appointments, Educational programs, Companionship (social activities), Errands (post office, dry cleaning), Mental wellness support (non-clinical), Housekeeping, Assistive technology training, Home maintenance (minor repairs), Travel companionship, Music and entertainment"
25,"Gordon, Kanique",93,54661,"Trempealeau","WI","Respite care (for family caregivers)"
26,"Paglinawan, Maisee",86,42462,"Waverly","KY","Playing games (cards, board games), Volunteer coordination, Home maintenance (minor repairs), Errands (post office, dry cleaning), Transportation to appointments, Reading aloud (books, newspapers), Arts and crafts activities, Pet care, Mental wellness support (non-clinical), Housekeeping"
27,"Prysby, Kendra",68,40110,"Clermont","KY","Reading aloud (books, newspapers), Gardening, Cooking meals, Volunteer coordination, Legal assistance referrals, Cooking meals, Legal assistance referrals, Pet care"
28,"Armijo, Osvaldo",94,52361,"Williamsburg","IA","Mental wellness support (non-clinical), Respite care (for family caregivers), Home maintenance (minor repairs), Cooking meals"
29,"Minor, Alexis",91,37618,"Bluff City","TN","Tech support (computers, phones), Accessibility modifications (home), Social event planning, Legal assistance referrals, Housekeeping, Social event planning"
30,"Herrera, Alexa",82,41072,"Newport","KY","Walking/exercise assistance, Grocery shopping, Transportation to appointments, Playing games (cards, board games), Financial management assistance (budgeting), Home maintenance (minor repairs), Home maintenance (minor repairs), Companionship (social activities)"
31,"Kramer, Scott",70,61106,"Rockford","IL","Respite care (for family caregivers), Educational programs, Educational programs, Mental wellness support (non-clinical), Transportation to appointments, Cooking meals, Legal assistance referrals"
32,"al-Aziz, Wasmaaa",84,11803,"Plainview","NY","Mental wellness support (non-clinical), Assistive technology training, Playing games (cards, board games), Companionship (social activities), Assistive technology training, Housekeeping, Playing games (cards, board games), Cooking meals, Senior center activities"
33,"Roseveare, Lauren",73,37166,"Smithville","TN","Gardening, Personal care (dressing, bathing - non-medical), Accessibility modifications (home)"
34,"al-Malik, Saami",89,34952,"Port Saint Lucie","FL","Tech support (computers, phones), Reading aloud (books, newspapers), Educational programs, Educational programs, Walking/exercise assistance, Personal care (dressing, bathing - non-medical), Social event planning, Respite care (for family caregivers), Errands (post office, dry cleaning), Social event planning"
35,"Hsiung, Nicole",68,59102,"Billings","MT","Financial management assistance (budgeting)"
