"volunteer_id","name","major_city","state","skills","availability"
1,"Makanjuola, Parker","Houck","AZ","Educational program development, Volunteer coordination, Pet care (walking, feeding), Music and entertainment (playing instruments, singing), Mental wellness support (non-clinical), Playing games (cards, board games), Educational program development","Tue 14-17, Tue 14-17"
2,"al-Noorani, Marwa","Sutherland","VA","Fall prevention assistance","Mon 9-12, Mon 9-12, Tue 14-17"
3,"Perales, Korren","Gibbs","MO","Senior center activities organization","Tue 14-17, Mon 9-12"
4,"Naylor, Cheyene","Chicago","IL","Volunteer coordination, Travel companionship, Educational program development, Medication reminders (non-medical), Running errands (post office, pharmacy), Gardening and yard work, Playing games (cards, board games)","Tue 14-17, Tue 14-17"
5,"Kemm, Nicole","Bard","CA","Medication reminders (non-medical), Fall prevention assistance, Transportation (driving, accompanying)","Tue 14-17, Mon 9-12"
6,"Feitz, Jarrett","Hubbard Lake","MI","Legal assistance referrals, Social event planning, Fall prevention assistance, Running errands (post office, pharmacy), Pet care (walking, feeding), Housekeeping and cleaning, Volunteer coordination, Gardening and yard work","Mon 9-12, Mon 9-12, Tue 14-17"
7,"Sago, Marissa","Dillwyn","VA","Playing games (cards, board games), Minor home repairs (plumbing, electrical), Social event planning, Travel companionship, Volunteer coordination, Educational program development, Playing games (cards, board games), Minor home repairs (plumbing, electrical)","Tue 14-17, Tue 14-17, Mon 9-12"
8,"el-Ebrahimi, Rihaab","South Point","OH","Home accessibility modifications, Assistive technology training, Meal preparation and cooking","Mon 9-12, Tue 14-17, Tue 14-17"
9,"Pare, Elexis","Fort Wingate","NM","Pet care (walking, feeding), Gardening and yard work, Housekeeping and cleaning, Fall prevention assistance, Playing games (cards, board games), Social event planning, Transportation (driving, accompanying), Reading aloud (books, newspapers)","Mon 9-12, Mon 9-12"
10,"Shields, Kristopher","Poplarville","MS","Medication reminders (non-medical), Walking and exercise assistance, Financial management assistance (budgeting), Walking and exercise assistance, Financial management assistance (budgeting), Companionship (social outings, visits), Tech support (computers, phones, tablets)","Tue 14-17, Mon 9-12, Mon 9-12"
11,"Davis, Xylonna","Pitts","GA","Volunteer coordination, Housekeeping and cleaning","Mon 9-12, Mon 9-12, Tue 14-17"
12,"Eshetu, Daria","Jet","OK","Medication reminders (non-medical), Pet care (walking, feeding), Senior center activities organization, Home safety assessments, Assistive technology training, Running errands (post office, pharmacy), Arts and crafts instruction, Pet care (walking, feeding)","Mon 9-12, Tue 14-17, Tue 14-17"
13,"al-Ammar, Hadiyya","Cornish","ME","Transportation (driving, accompanying), Fall prevention assistance, Mental wellness support (non-clinical), Financial management assistance (budgeting), Volunteer coordination, Grocery shopping assistance, Legal assistance referrals, Legal assistance referrals","Mon 9-12, Tue 14-17"
14,"Bradley, Nick","Jacksonville","FL","Social event planning, Running errands (post office, pharmacy), Mental wellness support (non-clinical), Arts and crafts instruction, Transportation (driving, accompanying), Medication reminders (non-medical), Housekeeping and cleaning","Mon 9-12, Tue 14-17, Mon 9-12"
