"volunteer_id","name","major_city","state","lat","lng","availability","radius_willingness","acceptance_probability"
1,"David, Jericho","Waynesboro","VA",38.1,-78.9,"Wed 12-3, Tue 9-12, Sun 3-6",11,0.916481674765237
2,"Lange, Kacey","Hallstead","PA",41.94,-75.81,"Tue 9-12, Thu 9-12",27,0.575497474637814
3,"Carlassare, Siria","Birmingham","AL",33.49,-86.74,"Mon 12-3, Fri 6-9",27,0.977358775213361
4,"Doucett, Royce","Studio City","CA",NA,NA,"Sun 12-3, Wed 6-9",10,0.687943254248239
5,"el-Ali, Jumaima","Luling","TX",29.7,-97.6,"Tue 3-6, Wed 12-3, Tue 12-3",20,0.633748371968977
6,"Thompson, Morgann","Woodlake","CA",36.5,-119.1,"Mon 6-9, Sat 6-9",28,0.830535012762994
7,"Ahmed, Sade","Fishers Island","NY",41.27,-71.98,"Mon 9-12, Wed 12-3",26,0.664540083613247
8,"Dufresne, Tae","Washington","DC",NA,NA,"Sat 3-6, Thu 3-6, Mon 12-3",21,0.649115553707816
9,"Funke, Alexandria","Shelby","MS",33.96,-90.75,"Sat 6-9, Tue 9-12, Mon 6-9",30,0.847345337155275
10,"al-Shehadeh, Ariyya","Monahans","TX",31.5,-103,"Wed 12-3, Sat 12-3",23,0.816217799205333
11,"Duerson, Irving","Port Hueneme","CA",NA,NA,"Thu 12-3, Sat 9-12",17,0.969458215637133
12,"Dee, Kiana","Warrington","PA",40.25,-75.14,"Tue 12-3, Mon 3-6",30,0.922341342899017
13,"Zuther, Amanda","Stanford","IL",40.42,-89.19,"Sat 9-12, Wed 6-9",28,0.85812793392688
14,"Hogan, Zachary","Cressona","PA",40.63,-76.19,"Sun 3-6, Fri 12-3",10,0.840703528374434
15,"Simon, Shakari","Laredo","TX",27.4,-99.3,"Sun 3-6, Wed 9-12, Mon 9-12",12,0.792377636767924
16,"Williams, Samuel","Levittown","PA",40.15,-74.89,"Sun 6-9, Thu 3-6",25,0.873885046574287
17,"Boshell, Marissa","Highlands","TX",29.83,-95.05,"Fri 12-3, Wed 3-6, Tue 6-9",15,0.563751145964488
18,"Clark, Ashley","Morrison","CO",39.6,-105.2,"Sun 3-6, Sun 9-12",30,0.526055156020448
19,"Seng, Davy","Osage","MN",46.9,-95.4,"Sun 6-9, Mon 12-3",28,0.501283084508032
20,"Guajardo, Alexandra","Emblem","WY",44.6,-108.2,"Sat 9-12, Sun 3-6",17,0.995236970484257
21,"Garcia, Clara","Berwick","IL",40.77,-90.54,"Sun 3-6, Sun 12-3",11,0.534740865579806
22,"Henry, Breanna","Intervale","NH",44.12,-71.14,"Mon 3-6, Fri 12-3",24,0.504449741449207
23,"Hurtado, Daniel","Pomfret","CT",NA,NA,"Fri 9-12, Sun 9-12",20,0.512020987691358
24,"Romero, Sebastian","Central Islip","NY",40.78,-73.19,"Fri 9-12, Sun 6-9, Thu 9-12",20,0.786968269851059
25,"el-Parsa, Ashraf","Sterling","VA",38.99,-77.47,"Sat 12-3, Wed 12-3, Sun 12-3",14,0.825740320025943
26,"Ross, Gabriel","Berrysburg","PA",40.602,-76.813,"Mon 9-12, Fri 9-12, Mon 6-9",13,0.670359645271674
27,"el-Abdulla, Zakariyya","Mill Creek","WV",38.76,-79.96,"Wed 6-9, Thu 3-6",21,0.750281457323581
28,"el-Idris, Shakeel","Harmony","MN",43.6,-92.1,"Sat 6-9, Thu 12-3",16,0.751541483448818
29,"Vera, Priscilla","Bloomingdale","OH",40.4,-80.8,"Tue 9-12, Sat 12-3, Thu 3-6",30,0.74234749993775
30,"Korth, Autumn","San Francisco","CA",NA,NA,"Sat 3-6, Fri 6-9",11,0.510588468285277
31,"Tran, Robert","Hampton","KY",37.31,-88.4,"Fri 12-3, Sun 6-9, Mon 6-9",17,0.892523769056424
32,"Tang, Kamee","Loretto","PA",40.52,-78.63,"Sun 9-12, Tue 3-6, Mon 9-12",29,0.905997728463262
33,"Lewis, Gabriel","Thornville","OH",39.9,-82.4,"Sat 9-12, Tue 3-6, Sat 3-6",14,0.719444793998264
34,"Selle, Brandon","Edisto Island","SC",32.6,-80.3,"Mon 3-6, Sat 9-12, Tue 6-9",26,0.613828016794287
35,"Salazar, Oswaldo","Lashmeet","WV",37.44,-81.24,"Sun 9-12, Sat 12-3",25,0.955572205013596
36,"Simpson, Shelby","Willard","UT",41.39,-112.05,"Fri 9-12, Tue 3-6",19,0.996780980145559
37,"Weber, Beth","Bushnell","IL",40.54,-90.52,"Tue 3-6, Thu 3-6, Sat 9-12",20,0.630283002508804
38,"Smith, Patrick","Schriever","LA",29.7,-90.87,"Thu 6-9, Tue 12-3",12,0.820112942834385
39,"Nunez-Wilchis, Bobbie-Linda","Sumter","SC",33.9,-80.5,"Mon 9-12, Sat 9-12, Wed 12-3",30,0.75715061230585
40,"Cortes, Marisol","Long Beach","CA",NA,NA,"Thu 3-6, Sun 6-9, Mon 12-3",16,0.978874692926183
41,"Corchado, Morgan","Houston","TX",NA,NA,"Wed 9-12, Thu 6-9, Wed 9-12",15,0.726941077038646
42,"Valdez, Leon","Port Reading","NJ",40.57,-74.25,"Tue 6-9, Sat 6-9",28,0.803575835889205
43,"Ta, Carmen","Geneva","GA",32.5,-84.6,"Wed 9-12, Mon 6-9",29,0.533391774632037
44,"el-Sarwar, Haifaaa","Albertville","AL",34.3,-86.2,"Sat 12-3, Fri 6-9, Sat 3-6",15,0.532447388162836
45,"Camacho, Carlo","College Springs","IA",40.62,-95.12,"Sun 9-12, Thu 6-9",10,0.951821742928587
46,"el-Rehmann, Wajdi","Smithfield","OH",40.27,-80.781,"Wed 9-12, Sat 9-12",17,0.911372504429892
